Инициализация LPS33...
Chip ID: 0xB1

Режим однократных измерений (Forced)
T=27.66°C, P=99653.05 Pa
T=27.67°C, P=99652.73 Pa
T=27.68°C, P=99654.78 Pa
T=27.69°C, P=99650.91 Pa
T=27.70°C, P=99651.13 Pa
T=27.70°C, P=99652.41 Pa
T=27.71°C, P=99653.45 Pa
T=27.71°C, P=99654.95 Pa
T=27.72°C, P=99654.34 Pa
T=27.72°C, P=99651.02 Pa
T=27.73°C, P=99655.84 Pa
T=27.72°C, P=99652.37 Pa
T=27.73°C, P=99654.34 Pa
T=27.73°C, P=99653.91 Pa
T=27.73°C, P=99654.08 Pa
T=27.74°C, P=99651.91 Pa
T=27.74°C, P=99655.10 Pa
T=27.74°C, P=99652.44 Pa
T=27.74°C, P=99654.64 Pa
T=27.74°C, P=99652.27 Pa
T=27.75°C, P=99653.54 Pa
T=27.74°C, P=99651.63 Pa
T=27.75°C, P=99653.13 Pa
T=27.75°C, P=99651.83 Pa
T=27.75°C, P=99652.44 Pa
T=27.75°C, P=99654.73 Pa
T=27.75°C, P=99656.84 Pa
T=27.76°C, P=99652.80 Pa
T=27.76°C, P=99657.16 Pa
T=27.76°C, P=99653.64 Pa
T=27.76°C, P=99653.73 Pa
T=27.76°C, P=99654.45 Pa
T=27.76°C, P=99654.59 Pa

Режим непрерывных измерений (Normal)
Cycle time: 1010 ms
Data NOT ready!
T=27.76°C, P=99654.34 Pa
T=27.67°C, P=99655.01 Pa
T=27.65°C, P=99652.05 Pa
T=27.64°C, P=99652.61 Pa
T=27.64°C, P=99651.93 Pa
T=27.63°C, P=99653.66 Pa
T=27.62°C, P=99652.64 Pa
T=27.62°C, P=99652.78 Pa
T=27.62°C, P=99654.86 Pa
T=27.62°C, P=99654.62 Pa
T=27.61°C, P=99656.59 Pa
T=27.60°C, P=99652.15 Pa
T=27.60°C, P=99650.73 Pa
T=27.60°C, P=99651.61 Pa
T=27.59°C, P=99652.15 Pa
T=27.58°C, P=99652.76 Pa
T=27.58°C, P=99652.71 Pa
T=27.57°C, P=99654.34 Pa
T=27.57°C, P=99654.13 Pa
T=27.57°C, P=99655.84 Pa
T=27.56°C, P=99652.86 Pa
T=27.55°C, P=99654.66 Pa
Data NOT ready!
T=27.55°C, P=99656.10 Pa
T=27.55°C, P=99653.25 Pa
T=27.54°C, P=99653.54 Pa
T=27.54°C, P=99652.78 Pa
T=27.54°C, P=99654.13 Pa
T=27.54°C, P=99650.56 Pa
T=27.53°C, P=99652.30 Pa
T=27.54°C, P=99653.78 Pa
T=27.54°C, P=99658.45 Pa
T=27.53°C, P=99652.47 Pa
